unique_detection_id,emotion,confidence,bbox
32920,happy,0.9751,"{""x1"": 671, ""y1"": 67, ""x2"": 811, ""y2"": 340}"
32921,neutral,0.858,"{""x1"": 495, ""y1"": 149, ""x2"": 603, ""y2"": 364}"
32922,neutral,0.6121,"{""x1"": 527, ""y1"": 428, ""x2"": 642, ""y2"": 708}"
32923,surprise,0.7072,"{""x1"": 168, ""y1"": 137, ""x2"": 234, ""y2"": 459}"
32924,fear,0.6205,"{""x1"": 321, ""y1"": 197, ""x2"": 406, ""y2"": 390}"
32925,neutral,0.7572,"{""x1"": 269, ""y1"": 94, ""x2"": 448, ""y2"": 449}"
32926,neutral,0.6513,"{""x1"": 276, ""y1"": 181, ""x2"": 444, ""y2"": 431}"
32927,happy,0.7643,"{""x1"": 758, ""y1"": 441, ""x2"": 924, ""y2"": 812}"
32928,neutral,0.6191,"{""x1"": 534, ""y1"": 147, ""x2"": 662, ""y2"": 315}"
32929,neutral,0.7812,"{""x1"": 388, ""y1"": 364, ""x2"": 520, ""y2"": 515}"
32930,sad,0.8158,"{""x1"": 358, ""y1"": 191, ""x2"": 538, ""y2"": 352}"
32931,neutral,0.7078,"{""x1"": 658, ""y1"": 361, ""x2"": 818, ""y2"": 570}"
32932,neutral,0.9479,"{""x1"": 381, ""y1"": 71, ""x2"": 545, ""y2"": 350}"
32933,fear,0.8931,"{""x1"": 145, ""y1"": 395, ""x2"": 279, ""y2"": 658}"
32934,neutral,0.608,"{""x1"": 228, ""y1"": 64, ""x2"": 354, ""y2"": 382}"
32935,surprise,0.9223,"{""x1"": 121, ""y1"": 477, ""x2"": 294, ""y2"": 833}"
32936,neutral,0.7226,"{""x1"": 243, ""y1"": 127, ""x2"": 385, ""y2"": 297}"
32937,neutral,0.8231,"{""x1"": 135, ""y1"": 485, ""x2"": 271, ""y2"": 700}"
32938,angry,0.8157,"{""x1"": 256, ""y1"": 404, ""x2"": 343, ""y2"": 610}"
32939,fear,0.9165,"{""x1"": 575, ""y1"": 161, ""x2"": 723, ""y2"": 388}"
32940,neutral,0.7086,"{""x1"": 670, ""y1"": 293, ""x2"": 820, ""y2"": 529}"
32941,neutral,0.621,"{""x1"": 115, ""y1"": 353, ""x2"": 253, ""y2"": 606}"
32942,happy,0.9221,"{""x1"": 515, ""y1"": 394, ""x2"": 644, ""y2"": 561}"
32943,neutral,0.6523,"{""x1"": 127, ""y1"": 192, ""x2"": 281, ""y2"": 389}"
32944,neutral,0.7822,"{""x1"": 162, ""y1"": 377, ""x2"": 293, ""y2"": 536}"
32945,neutral,0.7091,"{""x1"": 417, ""y1"": 254, ""x2"": 478, ""y2"": 471}"
32946,neutral,0.5753,"{""x1"": 662, ""y1"": 376, ""x2"": 742, ""y2"": 694}"
32947,happy,0.7213,"{""x1"": 136, ""y1"": 300, ""x2"": 231, ""y2"": 532}"
32948,happy,0.7149,"{""x1"": 295, ""y1"": 260, ""x2"": 361, ""y2"": 587}"
32949,sad,0.579,"{""x1"": 102, ""y1"": 158, ""x2"": 219, ""y2"": 477}"
32950,neutral,0.9191,"{""x1"": 359, ""y1"": 442, ""x2"": 512, ""y2"": 827}"
32951,happy,0.6583,"{""x1"": 161, ""y1"": 317, ""x2"": 259, ""y2"": 472}"
32952,neutral,0.8031,"{""x1"": 360, ""y1"": 88, ""x2"": 464, ""y2"": 426}"
32953,neutral,0.9858,"{""x1"": 445, ""y1"": 356, ""x2"": 589, ""y2"": 729}"
32954,happy,0.6808,"{""x1"": 274, ""y1"": 365, ""x2"": 445, ""y2"": 548}"
32955,neutral,0.6039,"{""x1"": 52, ""y1"": 304, ""x2"": 114, ""y2"": 595}"
32956,happy,0.8989,"{""x1"": 486, ""y1"": 300, ""x2"": 621, ""y2"": 696}"
32957,happy,0.8926,"{""x1"": 306, ""y1"": 351, ""x2"": 392, ""y2"": 749}"
32958,neutral,0.7603,"{""x1"": 480, ""y1"": 438, ""x2"": 639, ""y2"": 682}"
32959,angry,0.7748,"{""x1"": 399, ""y1"": 500, ""x2"": 537, ""y2"": 761}"
32960,neutral,0.9114,"{""x1"": 425, ""y1"": 422, ""x2"": 560, ""y2"": 711}"
32961,surprise,0.7964,"{""x1"": 743, ""y1"": 333, ""x2"": 825, ""y2"": 616}"
32962,happy,0.6415,"{""x1"": 617, ""y1"": 448, ""x2"": 769, ""y2"": 622}"
32963,happy,0.5694,"{""x1"": 92, ""y1"": 352, ""x2"": 203, ""y2"": 555}"
32964,happy,0.7004,"{""x1"": 396, ""y1"": 342, ""x2"": 535, ""y2"": 650}"
32965,sad,0.674,"{""x1"": 476, ""y1"": 329, ""x2"": 594, ""y2"": 619}"
32966,neutral,0.8107,"{""x1"": 108, ""y1"": 492, ""x2"": 181, ""y2"": 690}"
32967,disgust,0.5724,"{""x1"": 521, ""y1"": 186, ""x2"": 696, ""y2"": 442}"
32968,neutral,0.9036,"{""x1"": 526, ""y1"": 219, ""x2"": 663, ""y2"": 593}"
32969,surprise,0.8971,"{""x1"": 581, ""y1"": 234, ""x2"": 675, ""y2"": 427}"
32970,happy,0.8375,"{""x1"": 614, ""y1"": 57, ""x2"": 726, ""y2"": 269}"
32971,angry,0.7818,"{""x1"": 466, ""y1"": 365, ""x2"": 543, ""y2"": 567}"
32972,neutral,0.9128,"{""x1"": 167, ""y1"": 476, ""x2"": 329, ""y2"": 866}"
32973,neutral,0.7746,"{""x1"": 351, ""y1"": 250, ""x2"": 472, ""y2"": 609}"
32974,happy,0.556,"{""x1"": 682, ""y1"": 263, ""x2"": 844, ""y2"": 422}"
32975,happy,0.6284,"{""x1"": 498, ""y1"": 252, ""x2"": 657, ""y2"": 440}"
32976,happy,0.7927,"{""x1"": 490, ""y1"": 140, ""x2"": 579, ""y2"": 451}"
32977,happy,0.9327,"{""x1"": 263, ""y1"": 426, ""x2"": 366, ""y2"": 801}"
32978,happy,0.6961,"{""x1"": 654, ""y1"": 486, ""x2"": 799, ""y2"": 881}"
32979,happy,0.8635,"{""x1"": 728, ""y1"": 311, ""x2"": 825, ""y2"": 681}"
32980,happy,0.6394,"{""x1"": 635, ""y1"": 195, ""x2"": 754, ""y2"": 428}"
32981,neutral,0.9253,"{""x1"": 307, ""y1"": 319, ""x2"": 439, ""y2"": 587}"
32982,neutral,0.5536,"{""x1"": 341, ""y1"": 431, ""x2"": 451, ""y2"": 699}"
32983,neutral,0.5513,"{""x1"": 165, ""y1"": 403, ""x2"": 266, ""y2"": 589}"
32984,surprise,0.9312,"{""x1"": 534, ""y1"": 247, ""x2"": 595, ""y2"": 616}"
32985,happy,0.6049,"{""x1"": 532, ""y1"": 443, ""x2"": 700, ""y2"": 689}"
32986,surprise,0.7755,"{""x1"": 395, ""y1"": 109, ""x2"": 562, ""y2"": 348}"
32987,happy,0.884,"{""x1"": 336, ""y1"": 61, ""x2"": 419, ""y2"": 352}"
32988,neutral,0.8194,"{""x1"": 647, ""y1"": 445, ""x2"": 738, ""y2"": 673}"
32989,sad,0.7873,"{""x1"": 190, ""y1"": 165, ""x2"": 333, ""y2"": 410}"
32990,happy,0.7577,"{""x1"": 143, ""y1"": 148, ""x2"": 260, ""y2"": 343}"
32991,angry,0.5561,"{""x1"": 489, ""y1"": 331, ""x2"": 585, ""y2"": 578}"
32992,angry,0.6895,"{""x1"": 151, ""y1"": 439, ""x2"": 328, ""y2"": 701}"
32993,sad,0.5884,"{""x1"": 523, ""y1"": 234, ""x2"": 623, ""y2"": 581}"
32994,fear,0.806,"{""x1"": 539, ""y1"": 58, ""x2"": 703, ""y2"": 295}"
32995,happy,0.7889,"{""x1"": 270, ""y1"": 60, ""x2"": 387, ""y2"": 340}"
32996,disgust,0.5681,"{""x1"": 552, ""y1"": 255, ""x2"": 689, ""y2"": 640}"
32997,happy,0.5571,"{""x1"": 666, ""y1"": 159, ""x2"": 833, ""y2"": 551}"
32998,surprise,0.8177,"{""x1"": 201, ""y1"": 112, ""x2"": 322, ""y2"": 264}"
32999,neutral,0.7758,"{""x1"": 468, ""y1"": 268, ""x2"": 568, ""y2"": 575}"
33000,happy,0.8849,"{""x1"": 523, ""y1"": 138, ""x2"": 664, ""y2"": 532}"
33001,neutral,0.9783,"{""x1"": 482, ""y1"": 135, ""x2"": 625, ""y2"": 340}"
33002,happy,0.9385,"{""x1"": 628, ""y1"": 490, ""x2"": 694, ""y2"": 776}"
33003,happy,0.9423,"{""x1"": 96, ""y1"": 169, ""x2"": 217, ""y2"": 479}"
33004,happy,0.8268,"{""x1"": 501, ""y1"": 141, ""x2"": 676, ""y2"": 477}"
33005,fear,0.8307,"{""x1"": 477, ""y1"": 132, ""x2"": 596, ""y2"": 473}"
33006,happy,0.835,"{""x1"": 160, ""y1"": 259, ""x2"": 294, ""y2"": 594}"
33007,neutral,0.7081,"{""x1"": 215, ""y1"": 455, ""x2"": 350, ""y2"": 689}"
33008,neutral,0.8559,"{""x1"": 691, ""y1"": 432, ""x2"": 813, ""y2"": 802}"
33009,happy,0.8754,"{""x1"": 379, ""y1"": 238, ""x2"": 455, ""y2"": 535}"
33010,fear,0.6801,"{""x1"": 569, ""y1"": 190, ""x2"": 741, ""y2"": 552}"
33011,happy,0.7329,"{""x1"": 321, ""y1"": 162, ""x2"": 485, ""y2"": 314}"
33012,neutral,0.6243,"{""x1"": 739, ""y1"": 54, ""x2"": 861, ""y2"": 214}"
33013,happy,0.941,"{""x1"": 510, ""y1"": 251, ""x2"": 676, ""y2"": 583}"
33014,happy,0.8962,"{""x1"": 421, ""y1"": 347, ""x2"": 506, ""y2"": 513}"
33015,neutral,0.9547,"{""x1"": 75, ""y1"": 209, ""x2"": 202, ""y2"": 581}"
33016,neutral,0.9797,"{""x1"": 410, ""y1"": 261, ""x2"": 543, ""y2"": 657}"
33017,neutral,0.7858,"{""x1"": 283, ""y1"": 198, ""x2"": 348, ""y2"": 484}"
33018,neutral,0.673,"{""x1"": 379, ""y1"": 450, ""x2"": 445, ""y2"": 625}"
33019,neutral,0.9613,"{""x1"": 453, ""y1"": 147, ""x2"": 561, ""y2"": 421}"
33020,happy,0.8786,"{""x1"": 666, ""y1"": 319, ""x2"": 774, ""y2"": 565}"
33021,neutral,0.7008,"{""x1"": 124, ""y1"": 375, ""x2"": 276, ""y2"": 638}"
33022,happy,0.9814,"{""x1"": 586, ""y1"": 224, ""x2"": 685, ""y2"": 606}"
33023,sad,0.7901,"{""x1"": 385, ""y1"": 185, ""x2"": 541, ""y2"": 529}"
33024,neutral,0.5712,"{""x1"": 693, ""y1"": 165, ""x2"": 772, ""y2"": 375}"
33025,happy,0.9066,"{""x1"": 293, ""y1"": 54, ""x2"": 447, ""y2"": 225}"
33026,sad,0.7997,"{""x1"": 366, ""y1"": 434, ""x2"": 496, ""y2"": 746}"
33027,neutral,0.7445,"{""x1"": 645, ""y1"": 218, ""x2"": 740, ""y2"": 483}"
33028,happy,0.7078,"{""x1"": 715, ""y1"": 261, ""x2"": 847, ""y2"": 506}"
33029,happy,0.5751,"{""x1"": 123, ""y1"": 403, ""x2"": 241, ""y2"": 623}"
33030,happy,0.8125,"{""x1"": 738, ""y1"": 392, ""x2"": 903, ""y2"": 658}"
33031,happy,0.5512,"{""x1"": 289, ""y1"": 65, ""x2"": 432, ""y2"": 437}"
33032,happy,0.6632,"{""x1"": 685, ""y1"": 153, ""x2"": 856, ""y2"": 400}"
33033,neutral,0.8501,"{""x1"": 391, ""y1"": 207, ""x2"": 543, ""y2"": 544}"
33034,happy,0.9333,"{""x1"": 616, ""y1"": 154, ""x2"": 707, ""y2"": 346}"
33035,neutral,0.8535,"{""x1"": 132, ""y1"": 141, ""x2"": 226, ""y2"": 425}"
33036,neutral,0.7217,"{""x1"": 203, ""y1"": 128, ""x2"": 366, ""y2"": 419}"
33037,neutral,0.9561,"{""x1"": 395, ""y1"": 195, ""x2"": 516, ""y2"": 515}"
33038,neutral,0.9294,"{""x1"": 258, ""y1"": 166, ""x2"": 400, ""y2"": 549}"
33039,neutral,0.5859,"{""x1"": 354, ""y1"": 339, ""x2"": 469, ""y2"": 602}"
33040,surprise,0.5529,"{""x1"": 142, ""y1"": 105, ""x2"": 322, ""y2"": 325}"
33041,angry,0.6813,"{""x1"": 464, ""y1"": 107, ""x2"": 558, ""y2"": 325}"
33042,neutral,0.9146,"{""x1"": 314, ""y1"": 114, ""x2"": 445, ""y2"": 498}"
33043,happy,0.884,"{""x1"": 223, ""y1"": 83, ""x2"": 393, ""y2"": 268}"
33044,happy,0.7913,"{""x1"": 383, ""y1"": 243, ""x2"": 561, ""y2"": 431}"
33045,surprise,0.6954,"{""x1"": 776, ""y1"": 221, ""x2"": 892, ""y2"": 491}"
33046,sad,0.8939,"{""x1"": 262, ""y1"": 374, ""x2"": 405, ""y2"": 737}"
33047,angry,0.7001,"{""x1"": 685, ""y1"": 418, ""x2"": 828, ""y2"": 794}"
33048,neutral,0.6535,"{""x1"": 435, ""y1"": 386, ""x2"": 499, ""y2"": 582}"
33049,angry,0.8569,"{""x1"": 115, ""y1"": 422, ""x2"": 277, ""y2"": 764}"
33050,neutral,0.7895,"{""x1"": 664, ""y1"": 298, ""x2"": 787, ""y2"": 459}"
33051,neutral,0.9258,"{""x1"": 437, ""y1"": 171, ""x2"": 512, ""y2"": 377}"
33052,happy,0.7129,"{""x1"": 206, ""y1"": 282, ""x2"": 365, ""y2"": 468}"
33053,angry,0.8139,"{""x1"": 51, ""y1"": 316, ""x2"": 171, ""y2"": 469}"
33054,neutral,0.9865,"{""x1"": 704, ""y1"": 443, ""x2"": 781, ""y2"": 613}"
33055,neutral,0.5772,"{""x1"": 59, ""y1"": 305, ""x2"": 157, ""y2"": 705}"
33056,happy,0.7169,"{""x1"": 466, ""y1"": 152, ""x2"": 603, ""y2"": 472}"
33057,neutral,0.5566,"{""x1"": 473, ""y1"": 109, ""x2"": 573, ""y2"": 501}"
33058,neutral,0.7657,"{""x1"": 463, ""y1"": 192, ""x2"": 583, ""y2"": 366}"
33059,happy,0.58,"{""x1"": 380, ""y1"": 470, ""x2"": 514, ""y2"": 733}"
33060,sad,0.9531,"{""x1"": 691, ""y1"": 286, ""x2"": 771, ""y2"": 449}"
33061,happy,0.7841,"{""x1"": 418, ""y1"": 80, ""x2"": 568, ""y2"": 455}"
33062,sad,0.7115,"{""x1"": 415, ""y1"": 202, ""x2"": 579, ""y2"": 419}"
33063,happy,0.8353,"{""x1"": 294, ""y1"": 312, ""x2"": 391, ""y2"": 587}"
33064,happy,0.9572,"{""x1"": 324, ""y1"": 480, ""x2"": 388, ""y2"": 804}"
33065,happy,0.7878,"{""x1"": 432, ""y1"": 493, ""x2"": 527, ""y2"": 723}"
33066,neutral,0.8945,"{""x1"": 119, ""y1"": 156, ""x2"": 192, ""y2"": 532}"
33067,happy,0.8884,"{""x1"": 163, ""y1"": 482, ""x2"": 339, ""y2"": 704}"
33068,happy,0.9396,"{""x1"": 477, ""y1"": 148, ""x2"": 593, ""y2"": 509}"
33069,happy,0.7558,"{""x1"": 515, ""y1"": 400, ""x2"": 683, ""y2"": 555}"
33070,neutral,0.9034,"{""x1"": 101, ""y1"": 395, ""x2"": 250, ""y2"": 782}"
33071,happy,0.8701,"{""x1"": 310, ""y1"": 66, ""x2"": 412, ""y2"": 251}"
33072,happy,0.7163,"{""x1"": 320, ""y1"": 481, ""x2"": 384, ""y2"": 821}"
33073,sad,0.9038,"{""x1"": 132, ""y1"": 281, ""x2"": 290, ""y2"": 573}"
33074,neutral,0.7659,"{""x1"": 385, ""y1"": 260, ""x2"": 482, ""y2"": 493}"
33075,sad,0.6056,"{""x1"": 91, ""y1"": 447, ""x2"": 176, ""y2"": 641}"
33076,sad,0.6997,"{""x1"": 305, ""y1"": 153, ""x2"": 379, ""y2"": 431}"
33077,happy,0.868,"{""x1"": 239, ""y1"": 330, ""x2"": 377, ""y2"": 529}"
33078,neutral,0.8694,"{""x1"": 305, ""y1"": 330, ""x2"": 425, ""y2"": 555}"
33079,neutral,0.7387,"{""x1"": 696, ""y1"": 89, ""x2"": 827, ""y2"": 378}"
33080,happy,0.5679,"{""x1"": 487, ""y1"": 66, ""x2"": 564, ""y2"": 426}"
33081,sad,0.5852,"{""x1"": 378, ""y1"": 453, ""x2"": 498, ""y2"": 691}"
33082,happy,0.6751,"{""x1"": 727, ""y1"": 92, ""x2"": 825, ""y2"": 396}"
33083,neutral,0.7565,"{""x1"": 171, ""y1"": 194, ""x2"": 281, ""y2"": 382}"
33084,neutral,0.731,"{""x1"": 618, ""y1"": 395, ""x2"": 770, ""y2"": 675}"
33085,neutral,0.5637,"{""x1"": 438, ""y1"": 292, ""x2"": 599, ""y2"": 503}"
33086,neutral,0.9102,"{""x1"": 462, ""y1"": 59, ""x2"": 528, ""y2"": 313}"
33087,sad,0.6578,"{""x1"": 511, ""y1"": 476, ""x2"": 643, ""y2"": 759}"
33088,neutral,0.9848,"{""x1"": 549, ""y1"": 374, ""x2"": 692, ""y2"": 620}"
33089,happy,0.7719,"{""x1"": 591, ""y1"": 234, ""x2"": 740, ""y2"": 579}"
33090,happy,0.8719,"{""x1"": 213, ""y1"": 189, ""x2"": 336, ""y2"": 358}"
33091,neutral,0.6493,"{""x1"": 260, ""y1"": 334, ""x2"": 386, ""y2"": 724}"
33092,neutral,0.6125,"{""x1"": 388, ""y1"": 199, ""x2"": 481, ""y2"": 421}"
33093,neutral,0.9375,"{""x1"": 667, ""y1"": 211, ""x2"": 806, ""y2"": 596}"
33094,happy,0.8544,"{""x1"": 375, ""y1"": 403, ""x2"": 504, ""y2"": 744}"
33095,happy,0.8059,"{""x1"": 550, ""y1"": 142, ""x2"": 654, ""y2"": 427}"
33096,happy,0.6862,"{""x1"": 761, ""y1"": 225, ""x2"": 920, ""y2"": 616}"
33097,neutral,0.8556,"{""x1"": 77, ""y1"": 95, ""x2"": 171, ""y2"": 483}"
33098,neutral,0.5889,"{""x1"": 239, ""y1"": 393, ""x2"": 356, ""y2"": 560}"
33099,happy,0.5558,"{""x1"": 282, ""y1"": 372, ""x2"": 425, ""y2"": 731}"
33100,happy,0.771,"{""x1"": 758, ""y1"": 336, ""x2"": 928, ""y2"": 544}"
33101,happy,0.669,"{""x1"": 619, ""y1"": 80, ""x2"": 680, ""y2"": 245}"
33102,neutral,0.6952,"{""x1"": 500, ""y1"": 123, ""x2"": 611, ""y2"": 339}"
33103,neutral,0.6399,"{""x1"": 57, ""y1"": 350, ""x2"": 220, ""y2"": 701}"
33104,happy,0.631,"{""x1"": 790, ""y1"": 484, ""x2"": 870, ""y2"": 789}"
33105,sad,0.5943,"{""x1"": 448, ""y1"": 404, ""x2"": 526, ""y2"": 776}"
33106,happy,0.7761,"{""x1"": 160, ""y1"": 61, ""x2"": 305, ""y2"": 255}"
33107,happy,0.7425,"{""x1"": 608, ""y1"": 233, ""x2"": 784, ""y2"": 603}"
33108,happy,0.9325,"{""x1"": 748, ""y1"": 412, ""x2"": 914, ""y2"": 770}"
33109,fear,0.7423,"{""x1"": 400, ""y1"": 198, ""x2"": 553, ""y2"": 448}"
33110,neutral,0.9211,"{""x1"": 683, ""y1"": 465, ""x2"": 844, ""y2"": 705}"
33111,neutral,0.8203,"{""x1"": 70, ""y1"": 175, ""x2"": 242, ""y2"": 326}"
33112,happy,0.8693,"{""x1"": 86, ""y1"": 433, ""x2"": 208, ""y2"": 786}"
33113,neutral,0.8933,"{""x1"": 620, ""y1"": 192, ""x2"": 789, ""y2"": 496}"
33114,happy,0.8266,"{""x1"": 322, ""y1"": 342, ""x2"": 454, ""y2"": 710}"
33115,sad,0.7254,"{""x1"": 496, ""y1"": 454, ""x2"": 557, ""y2"": 697}"
33116,neutral,0.9664,"{""x1"": 73, ""y1"": 280, ""x2"": 246, ""y2"": 478}"
33117,neutral,0.7764,"{""x1"": 93, ""y1"": 255, ""x2"": 264, ""y2"": 536}"
33118,neutral,0.8656,"{""x1"": 528, ""y1"": 150, ""x2"": 701, ""y2"": 530}"
33119,happy,0.975,"{""x1"": 341, ""y1"": 63, ""x2"": 517, ""y2"": 376}"
33120,neutral,0.5857,"{""x1"": 540, ""y1"": 472, ""x2"": 717, ""y2"": 772}"
33121,happy,0.7697,"{""x1"": 116, ""y1"": 448, ""x2"": 180, ""y2"": 605}"
33122,neutral,0.8486,"{""x1"": 69, ""y1"": 287, ""x2"": 148, ""y2"": 509}"
33123,neutral,0.7658,"{""x1"": 789, ""y1"": 377, ""x2"": 919, ""y2"": 539}"
33124,neutral,0.6808,"{""x1"": 488, ""y1"": 56, ""x2"": 550, ""y2"": 340}"
33125,neutral,0.804,"{""x1"": 458, ""y1"": 152, ""x2"": 636, ""y2"": 487}"
33126,neutral,0.6784,"{""x1"": 129, ""y1"": 434, ""x2"": 282, ""y2"": 774}"
33127,neutral,0.6451,"{""x1"": 795, ""y1"": 144, ""x2"": 867, ""y2"": 537}"
33128,sad,0.8518,"{""x1"": 416, ""y1"": 477, ""x2"": 564, ""y2"": 872}"
33129,happy,0.8071,"{""x1"": 74, ""y1"": 204, ""x2"": 169, ""y2"": 560}"
33130,neutral,0.9047,"{""x1"": 622, ""y1"": 318, ""x2"": 709, ""y2"": 668}"
33131,happy,0.9645,"{""x1"": 746, ""y1"": 288, ""x2"": 848, ""y2"": 550}"
33132,neutral,0.741,"{""x1"": 556, ""y1"": 402, ""x2"": 724, ""y2"": 589}"
33133,neutral,0.6066,"{""x1"": 780, ""y1"": 146, ""x2"": 927, ""y2"": 447}"
33134,sad,0.87,"{""x1"": 550, ""y1"": 306, ""x2"": 712, ""y2"": 484}"
33135,disgust,0.9126,"{""x1"": 635, ""y1"": 54, ""x2"": 704, ""y2"": 316}"
33136,neutral,0.5906,"{""x1"": 756, ""y1"": 213, ""x2"": 884, ""y2"": 485}"
33137,happy,0.7796,"{""x1"": 480, ""y1"": 236, ""x2"": 623, ""y2"": 441}"
33138,sad,0.8204,"{""x1"": 68, ""y1"": 461, ""x2"": 168, ""y2"": 692}"
33139,happy,0.6212,"{""x1"": 228, ""y1"": 124, ""x2"": 382, ""y2"": 518}"
33140,neutral,0.8571,"{""x1"": 338, ""y1"": 329, ""x2"": 476, ""y2"": 520}"
33141,happy,0.9711,"{""x1"": 708, ""y1"": 472, ""x2"": 884, ""y2"": 748}"
33142,neutral,0.562,"{""x1"": 476, ""y1"": 163, ""x2"": 547, ""y2"": 463}"
33143,angry,0.9533,"{""x1"": 168, ""y1"": 405, ""x2"": 278, ""y2"": 658}"
33144,happy,0.7105,"{""x1"": 688, ""y1"": 184, ""x2"": 755, ""y2"": 494}"
33145,neutral,0.8306,"{""x1"": 181, ""y1"": 71, ""x2"": 305, ""y2"": 385}"
33146,neutral,0.6769,"{""x1"": 689, ""y1"": 432, ""x2"": 812, ""y2"": 586}"
33147,happy,0.7549,"{""x1"": 642, ""y1"": 251, ""x2"": 759, ""y2"": 625}"
33148,neutral,0.6203,"{""x1"": 222, ""y1"": 59, ""x2"": 385, ""y2"": 337}"
33149,neutral,0.906,"{""x1"": 709, ""y1"": 242, ""x2"": 834, ""y2"": 459}"
33150,happy,0.9708,"{""x1"": 401, ""y1"": 196, ""x2"": 546, ""y2"": 593}"
33151,sad,0.8553,"{""x1"": 505, ""y1"": 177, ""x2"": 678, ""y2"": 363}"
33152,happy,0.7253,"{""x1"": 534, ""y1"": 436, ""x2"": 618, ""y2"": 665}"
33153,neutral,0.6257,"{""x1"": 561, ""y1"": 421, ""x2"": 717, ""y2"": 700}"
33154,happy,0.6547,"{""x1"": 224, ""y1"": 266, ""x2"": 322, ""y2"": 584}"
33155,neutral,0.5915,"{""x1"": 674, ""y1"": 454, ""x2"": 794, ""y2"": 690}"
33156,neutral,0.6991,"{""x1"": 393, ""y1"": 232, ""x2"": 537, ""y2"": 621}"
33157,happy,0.6072,"{""x1"": 117, ""y1"": 68, ""x2"": 197, ""y2"": 434}"
33158,sad,0.9123,"{""x1"": 642, ""y1"": 287, ""x2"": 791, ""y2"": 487}"
33159,neutral,0.892,"{""x1"": 66, ""y1"": 465, ""x2"": 230, ""y2"": 827}"
33160,neutral,0.8036,"{""x1"": 546, ""y1"": 204, ""x2"": 718, ""y2"": 481}"
33161,neutral,0.6045,"{""x1"": 609, ""y1"": 176, ""x2"": 759, ""y2"": 408}"
33162,happy,0.984,"{""x1"": 209, ""y1"": 418, ""x2"": 322, ""y2"": 704}"
33163,neutral,0.6455,"{""x1"": 448, ""y1"": 99, ""x2"": 555, ""y2"": 259}"
33164,fear,0.602,"{""x1"": 494, ""y1"": 420, ""x2"": 647, ""y2"": 719}"
33165,sad,0.9168,"{""x1"": 673, ""y1"": 242, ""x2"": 752, ""y2"": 423}"
33166,neutral,0.9669,"{""x1"": 619, ""y1"": 255, ""x2"": 752, ""y2"": 654}"
33167,neutral,0.7131,"{""x1"": 345, ""y1"": 401, ""x2"": 458, ""y2"": 670}"
33168,happy,0.6422,"{""x1"": 238, ""y1"": 499, ""x2"": 399, ""y2"": 698}"
33169,fear,0.7159,"{""x1"": 754, ""y1"": 200, ""x2"": 853, ""y2"": 524}"
33170,surprise,0.8892,"{""x1"": 187, ""y1"": 235, ""x2"": 277, ""y2"": 516}"
33171,disgust,0.9659,"{""x1"": 704, ""y1"": 388, ""x2"": 847, ""y2"": 658}"
33172,neutral,0.8169,"{""x1"": 534, ""y1"": 373, ""x2"": 653, ""y2"": 686}"
33173,neutral,0.9044,"{""x1"": 669, ""y1"": 189, ""x2"": 808, ""y2"": 417}"
33174,neutral,0.9496,"{""x1"": 379, ""y1"": 202, ""x2"": 524, ""y2"": 444}"
33175,neutral,0.5848,"{""x1"": 749, ""y1"": 461, ""x2"": 901, ""y2"": 712}"
33176,neutral,0.7287,"{""x1"": 412, ""y1"": 376, ""x2"": 484, ""y2"": 549}"
33177,neutral,0.9798,"{""x1"": 652, ""y1"": 379, ""x2"": 813, ""y2"": 758}"
33178,happy,0.5554,"{""x1"": 520, ""y1"": 374, ""x2"": 676, ""y2"": 618}"
33179,happy,0.6402,"{""x1"": 781, ""y1"": 114, ""x2"": 883, ""y2"": 380}"
33180,sad,0.8591,"{""x1"": 732, ""y1"": 369, ""x2"": 891, ""y2"": 758}"
33181,neutral,0.9344,"{""x1"": 469, ""y1"": 478, ""x2"": 648, ""y2"": 814}"
33182,angry,0.9776,"{""x1"": 302, ""y1"": 309, ""x2"": 398, ""y2"": 653}"
33183,fear,0.6348,"{""x1"": 202, ""y1"": 255, ""x2"": 308, ""y2"": 502}"
33184,surprise,0.9257,"{""x1"": 281, ""y1"": 323, ""x2"": 447, ""y2"": 643}"
33185,happy,0.7454,"{""x1"": 769, ""y1"": 60, ""x2"": 832, ""y2"": 394}"
33186,happy,0.6799,"{""x1"": 389, ""y1"": 400, ""x2"": 450, ""y2"": 721}"
33187,disgust,0.8404,"{""x1"": 276, ""y1"": 381, ""x2"": 436, ""y2"": 607}"
33188,happy,0.9263,"{""x1"": 578, ""y1"": 462, ""x2"": 666, ""y2"": 689}"
33189,fear,0.8467,"{""x1"": 744, ""y1"": 262, ""x2"": 853, ""y2"": 574}"
33190,happy,0.982,"{""x1"": 581, ""y1"": 361, ""x2"": 743, ""y2"": 614}"
33191,happy,0.6768,"{""x1"": 106, ""y1"": 110, ""x2"": 230, ""y2"": 286}"
33192,neutral,0.8021,"{""x1"": 318, ""y1"": 274, ""x2"": 434, ""y2"": 667}"
33193,sad,0.8328,"{""x1"": 229, ""y1"": 475, ""x2"": 385, ""y2"": 638}"
33194,neutral,0.9204,"{""x1"": 409, ""y1"": 137, ""x2"": 479, ""y2"": 301}"
33195,happy,0.8187,"{""x1"": 75, ""y1"": 285, ""x2"": 173, ""y2"": 511}"
33196,neutral,0.909,"{""x1"": 309, ""y1"": 167, ""x2"": 437, ""y2"": 457}"
